[2022-04-22T11:43:51.943] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.943] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.943] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.944] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.944] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.944] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.945] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.945] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.945] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.946] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.946] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.946] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.947] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.947] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.948] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.948] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.948] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.949] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.949] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.950] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.950] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.950] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.951] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.951] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.951] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.952] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.952] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.952] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.953] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.953] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.953] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.953] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.954] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.954] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.954] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.955] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.955] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.955] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.956] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.956] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.956] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.957] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.958] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.959] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.959] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.959] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.960] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.960] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.960] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.961] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.961] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.961] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.962] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.962] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.962] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.963] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.963] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.964] [INFO] csvReader - CSV line 1
